method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
reactive,-112.77141612195649,93.16691043915131,19.35969672560405,80.0,2,1.987098338,0.3166709141333334,91.04570620973954,292.0080959549994,0.11917471885681152,0.14483642578125,10
reactive,-114.00774773540411,91.7040642378546,17.07843308626603,90.0,1,1.9712880881000001,0.31667091401333347,91.6822689511808,302.3164653794977,0.11085033416748047,0.1372389793395996,11
reactive,-110.89907946588167,93.17716452238139,11.016973265296068,70.0,3,2.0205741209999997,0.3233660705933334,90.11832864379187,300.3949950966289,0.10789990425109863,0.12297272682189941,12
reactive,-149.69724028631217,100.94893132373204,-4.066744034444082,90.0,1,2.017389133,0.3227468024966668,86.94976093647068,287.64999999162774,0.11978423595428467,0.135603666305542,13
reactive,-93.83812267621963,86.49454274596313,16.311328461289804,90.0,1,1.9913022311250002,0.3186083569800002,88.59356793199896,289.1267413,0.1310126781463623,0.15704607963562012,14
reactive,-168.0593281230017,104.03547823138223,-20.788814411743356,90.0,1,1.9738081113125,0.31580929781000017,83.94546611319069,276.03114599000236,0.11857056617736816,0.14615106582641602,15
reactive,-146.348052726819,99.94293210207243,-16.64533216800218,90.0,1,2.0115440387142858,0.3216557182600001,82.86139658693608,273.3582721687497,0.11384451389312744,0.1347510814666748,16
reactive,-145.05795590856283,100.84611811315857,-27.150640356610538,90.0,1,2.0189317568357144,0.3230347589960001,81.55127344530119,271.75757294999823,0.15616071224212646,0.15996170043945312,17
reactive,-109.47291115875143,91.8886468970825,10.222406717467951,80.0,2,1.9959179493,0.3184348362800001,84.25096004142155,283.69303299999945,0.12215650081634521,0.1506516933441162,18
reactive,-118.17439474056846,93.75041821713785,0.3876831651846981,70.0,3,2.01871883449,0.3229950134920001,101.04948625052062,324.8193775187555,0.11898922920227051,0.13771486282348633,19
reactive,-131.95252213093127,93.57590781902773,7.822078393159064,90.0,1,1.9791932123416667,0.31667091397466673,84.6141237364621,275.60759954500236,0.12257266044616699,0.15212273597717285,20
rebs,-163.9200118168444,106.61605267377544,3.0997309736465053,100.0,0,1.919290869125,0.3070865390599999,90.11879575493504,290.8357466865,0.12377762794494629,0.14959931373596191,1
rebs,-144.66897109999775,101.22276366055995,8.92751393356645,100.0,0,1.9350295177266286,0.3079243655389705,86.00283571332011,284.323328075,0.12035048007965088,0.14604806900024414,2
rebs,-149.61643814554603,99.75393166035319,9.40796114313931,100.0,0,1.9972054018685712,0.3195346110588,83.81265829504186,276.666306328,0.12314260005950928,0.1494743824005127,3
rebs,-107.9400004016632,93.52538308464563,-4.121546423365278,100.0,0,1.9621981255200371,0.3125817037226715,88.81748947914365,286.2209534,0.12155365943908691,0.14031982421875,4
rebs,-132.34900935916082,95.50935029143379,4.058441248572936,100.0,0,1.9892721097816124,0.31828353756505806,90.38604780819952,290.68145450000003,0.1380927562713623,0.17249226570129395,5
rebs,-102.34615494802166,93.76742582096594,3.978065001502183,100.0,0,1.91048108847838,0.3080566413739173,85.94020052483135,288.4468375,0.1284576654434204,0.1549208164215088,6
rebs,-170.06922605748866,111.65469200676613,6.139880206640273,100.0,0,1.94730844225,0.3115693507599998,98.50500757863077,323.19660514000003,0.11544275283813477,0.13452363014221191,7
rebs,-124.47553610955899,96.46695056845007,-5.8779003325745345,80.0,2,1.9009149391340747,0.3079722052321781,89.73031761951245,298.7705769672,0.12909328937530518,0.15710067749023438,8
rebs,-106.74638941022039,97.09852938139883,7.424341836670305,100.0,0,1.9397628833945972,0.3079947554692797,94.8841184017982,313.1977112,0.15063726902008057,0.2006983757019043,9
rebs,-109.6908738556551,93.98244701696714,18.653811807273694,100.0,0,1.9419893301489999,0.3084353859065334,91.57158868711882,294.048803482,0.12383377552032471,0.15210556983947754,10
rebs,-107.74810273176477,93.17132494516913,15.751691922364031,100.0,0,1.9105497827290001,0.3080644204771334,91.41424548253815,301.1308262795,0.11477911472320557,0.1350722312927246,11
rebs,-107.04458930085595,93.43935282238138,10.766586718034032,90.0,1,1.9397721412141131,0.3079963173870972,89.97657685996292,299.72639025,0.11171317100524902,0.14151358604431152,12
rebs,-144.3219698039167,101.2792658834749,-4.407280993317365,90.0,1,1.9341099217857143,0.3077369879733333,86.99747816128583,287.84176372495,0.1166771650314331,0.14114928245544434,13
rebs,-89.67659783640617,86.81384694596315,16.00238244612656,90.0,1,1.9252235415872123,0.30803576665395405,89.1707004706483,291.2021955,0.12463498115539551,0.1492481231689453,14
rebs,-160.94885624553345,104.975117859524,-21.879768753348912,100.0,0,1.924878296808125,0.30798052748929994,83.31991564629178,274.03428385850003,0.1170957088470459,0.14143776893615723,15
rebs,-145.81993374530472,100.41096696943073,-17.19158472854802,100.0,0,1.997746800285237,0.319674516337911,83.70884225016934,277.1552901645,0.11992263793945312,0.14263081550598145,16
rebs,-140.88463804367098,100.81792131168713,-27.115088751549468,100.0,0,1.9346424184830715,0.30788628498017356,82.22223072811062,274.250849285,0.12081015110015869,0.1513063907623291,17
rebs,-105.06051315610067,91.86416615423882,10.246325038702299,100.0,0,1.9382799972723077,0.3077970699064477,83.98185662560195,282.69706175,0.11618506908416748,0.1226806640625,18
rebs,-116.0547026138694,94.24484206621321,-0.13765534574026483,100.0,0,1.997609952358865,0.3196692014038238,100.17805525171521,321.1766250615,0.1317986249923706,0.16831469535827637,19
